TimeStamp,Index,Description,Type,MTU,Speed,Physical Address,Admin Status,Operational State,IfLastChange,InOctets,InUnicastPackets,InNon-UnicastPackets,InDiscards,OutErrors,OutOctets,OutUnicastPackets,OutNon-UnicastPackets,OutDiscards,InErrors
1224693071,1,eth0,ethernet-csmacd,1500,100000000,00:08:25:a0:5f:50,up,up,29,200874,8,2024,0,0,4247,25,3,0,0
1224693071,2,lo0,software-loopback,1536,0,00:00:00:00:00:00,up,up,0,0,193,0,0,0,0,193,0,0,0
1224693071,5,M00,gigabit-ethernet,1500,1000000000,00:08:25:a0:5f:53,up,down,5116,0,0,0,0,0,0,0,0,0,0
1224693071,6,M10,gigabit-ethernet,1500,1000000000,00:08:25:a0:5f:55,up,down,5372,0,0,0,0,0,0,0,0,0,0
1224693071,13,sp0,ethernet-csmacd,1500,100000000,00:08:25:a0:5f:53,up,up,4750,0,0,0,0,0,0,1,0,0,0
1224693071,14,sp1,ethernet-csmacd,1500,100000000,00:08:25:a0:5f:55,up,up,4750,0,0,0,0,0,0,1,0,0,0
1224693371,1,eth0,ethernet-csmacd,1500,100000000,00:08:25:a0:5f:50,up,up,29,349349,15,3739,0,0,7744,47,4,0,0
1224693371,2,lo0,software-loopback,1536,0,00:00:00:00:00:00,up,up,0,0,203,0,0,0,0,203,0,0,0
1224693371,5,M00,gigabit-ethernet,1500,1000000000,00:08:25:a0:5f:53,up,up,49197,13966,9,193,0,0,2240,2,33,0,0
1224693371,6,M10,gigabit-ethernet,1500,1000000000,00:08:25:a0:5f:55,up,up,48711,15952,5,230,0,0,434,3,2,0,0
1224693371,13,sp0,ethernet-csmacd,1500,100000000,00:08:25:a0:5f:53,up,up,4750,0,0,0,0,0,0,2,0,0,0
1224693371,14,sp1,ethernet-csmacd,1500,100000000,00:08:25:a0:5f:55,up,up,4750,0,0,0,0,0,0,4,0,0,0
1224693671,1,eth0,ethernet-csmacd,1500,100000000,00:08:25:a0:5f:50,up,up,29,542528,15,5644,0,0,10349,64,4,0,0
1224693671,2,lo0,software-loopback,1536,0,00:00:00:00:00:00,up,up,0,0,211,0,0,0,0,211,0,0,0
1224693671,5,M00,gigabit-ethernet,1500,1000000000,00:08:25:a0:5f:53,up,up,49197,352510,1415,534,0,0,336137,1328,95,0,0
1224693671,6,M10,gigabit-ethernet,1500,1000000000,00:08:25:a0:5f:55,up,up,48711,114661,133,633,0,0,71152,138,2,0,0
1224693671,13,sp0,ethernet-csmacd,1500,100000000,00:08:25:a0:5f:53,up,up,4750,0,0,0,0,0,0,3,0,0,0
1224693671,14,sp1,ethernet-csmacd,1500,100000000,00:08:25:a0:5f:55,up,up,4750,0,0,0,0,0,0,10,0,0,0
